range,values
'Cotizaciones'!F7161,[['WDS100T3X0G']]
'Cotizaciones'!M7161,[[0.903]]
'Cotizaciones'!F19288,[['TCM008VH']]
'Cotizaciones'!M19288,[[1.0]]
